block,delayBlocks,futureBlocks,delaySeconds,futureSeconds,impl
15411056,5760,12,86400,3600,0xbe04ab2728c924d678f9fc833e379688c6efa317
15530633,5760,12,86400,3600,0x16242595cafa3a207e9354e3bdb000b59ba82875
15530634,5760,12,86400,3600,0xcc4e9e22acdf93192cf7e149d7563f6d660e9afc
15661056,5760,12,86400,3600,0xcc4e9e22acdf93192cf7e149d7563f6d660e9afc
15911056,5760,12,86400,3600,0xcc4e9e22acdf93192cf7e149d7563f6d660e9afc
15926607,5760,12,86400,3600,0xcc4e9e22acdf93192cf7e149d7563f6d660e9afc
15926608,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
16161056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
16411056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
16661056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
16911056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
17161056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
17411056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
17661056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
17911056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
18161056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
18411056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
18661056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
18911056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
19161056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
19411056,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
19433609,5760,12,86400,3600,0xd03bfe2ce83632f4e618a97299cc91b1335bb2d9
19433610,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
19661056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
19911056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
20161056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
20411056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
20661056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
20911056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
21161056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
21411056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
21661056,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
21830859,5760,64,86400,768,0x31da64d19cd31a19cd09f4070366fe2144792cf7
21830860,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
21911056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
22161056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
22411056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
22661056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
22911056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
23161056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
23411056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
23661056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
23911056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
24161056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
24411056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
24661056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
24911056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
25161056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
25411056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
25661056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
25911056,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
25977829,7200,64,86400,768,0x98a58adab0f8a66a1bf4544d804bc0475dff32c7
